Narrateur,"Vous devez viser pour jouer avec la position de l'adversaire ou gagner un point.
Faire courir votre adversaire sur le court ou viser des zones précises peut l'épuiser et vous rapporter des coups gagnants."
Narrateur,"Préparer une frappe peut être bénéfique pour renvoyer la balle près de la ligne, permettant ainsi d'ouvrir le jeu en forçant l'adversaire à sortir de sa zone de confort.
Vous risquez cependant davantage que la balle atterrisse hors du court."
Narrateur,"Mettez la pression à votre adversaire en frappant la balle avec le plus de force possible.
Un coup puissant est une stratégie pour augmenter les probabilités de coups gagnants, déséquilibrer l'adversaire et imposer une pression temporelle."
Narrateur,"Exécuter un coup puissant peut avoir des avantages, charger la frappe trop longtemps permettra un coup surchargé.
Si celui-ci est réussi, la balle est tellement rapide que l'adversaire n'a pas le temps de réagir.
Cependant, ce sont des frappes qui manquent de précision et peuvent facilement atterrir hors du court."
Narrateur,"Si votre adversaire réalise un coup puissant, cela peut ajouter une pression temporelle, mais faites confiance à votre vitesse et votre flexibilité pour réceptionner ces balles difficiles."
Narrateur,"Un coup puissant directement sur le corps de l'adversaire est très efficace, car celui-ci n'a pas le temps d'effectuer une bonne frappe de fond de court.
Il sera forcé de répondre par un coup réflexe au dernier moment, mais cette frappe sera moins puissante et précise."
Narrateur,La hauteur de la balle a un rôle décisif pour frapper la balle dans la bonne zone. Frappez la balle dans votre zone de confort de frappe après le rebond. L'avantage de frapper la balle à la bonne hauteur est que votre coup sera plus rapide et réduira donc le temps de réaction de l'adversaire.
Narrateur,"Si l'adversaire vous met la pression en frappant la balle avec force ou en réalisant un puissant coup lifté kické, au lieu de réceptionner la balle dans une zone de frappe risquée, vous pouvez reculer votre joueur et frapper la balle au bout de sa trajectoire : c'est une méthode plus sûre de renvoyer une balle dangereuse."
Narrateur,L'exécution d'un amorti change le rythme du match et peut placer l'adversaire en mauvaise posture.
Narrateur,"Une autre méthode visant à accélérer le rythme consiste à passer à l'offensive et à jouer derrière le filet. Jouer des coups rapides à hauts angles est efficace pour forcer l'adversaire à s'épuiser en chassant la balle. Mais faites attention, dans cette position, vous risquez un lob bien placé au fond du court."
Narrateur,Description du didacticiel...
Narrateur,Description du didacticiel...
Narrateur,Description du didacticiel...
Narrateur,Description du didacticiel...
Narrateur,Description du didacticiel...
Narrateur,Appuyez sur |CIRCLE|  pour effectuer un coup lifté de fond de court.
Narrateur,Relâchez la touche avant que la balle atteigne le joueur pour frapper.
Narrateur,Utilisez le |LEFTSTICK|  pour déplacer le joueur jusqu'à l'emplacement où la balle atterrira.
Narrateur,Appuyez sur |CIRCLE|  pour effectuer un coup lifté de fond de court.
Narrateur,Utilisez le |LEFTSTICK|  pour replacer le joueur au cône du centre après avoir joué chaque coup.
Narrateur,Appuyez longuement sur |L2|  pour préparer un coup vers la gauche.
Narrateur,Appuyez longuement sur |R2|   pour préparer un coup vers la droite.
Narrateur,Orientez le |LEFTSTICK|  dans la direction de la préparation pour vous déplacer plus vite.
Narrateur,Appuyez longuement sur |CROSS|  pour lancer la balle.
Narrateur,Relâchez |CROSS|  lorsque le cercle se rétrécit sur la balle.
Narrateur,Utilisez le |LEFTSTICK|  pour orienter la balle tout en maintenant |CROSS|  enfoncée pour lancer la balle.
Narrateur,Orienter le lancer détermine où la balle atterrira dans le carré de service.
